Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
VST Plep;110594;LS73700;ja;16.02.2026;Logistik;22000;Heine Optotechnik;HEINE Optotechnik GmbH & Co. KG;Dornierstraße 6;82205;Gilching;;;;
AMW Auersperg;110595;LS73701;ja;14.01.2026;Logistik;21994;Lindemann, Berlin;Lindemann GmbH & Co.KG;Heusinger Straße 12-16;12107;Berlin;;;;
Planegg;110596;LS73702;ja;09.01.2026;Logistik;22148;Dr. Lämmel;Drs Carola und Johann-Christoph Läm;Bahnhofstrasse 13a;85586;Ebersberg;;;;
Berlin Wein König;110597;LS73703;nein;09.01.2026;Logistik;21144;Knotel;Knotel Berlin I GmbH c/o Kry International AB;Mehringdamm 33  / 4.OG;10961;Berlin;;;;
VST Schörling;110598;LS73704;ja;09.02.2026;Logistik;22345;LKC Grünwald GmbH & Co. KG;LKC Grünwald GmbH & Co.KG WPG StBG;Kopernikusstraße 9;81679;München;;;;
VST Schörling;110599;LS73705;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110600;LS73706;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110601;LS73707;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Auslagerung OS;Gustav-Heinemann-Ring 212;81739;München;;;;
VST Schörling;110602;LS73708;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110603;LS73709;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110604;LS73710;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110605;LS73711;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110606;LS73712;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110607;LS73713;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110608;LS73714;ja;26.01.2026;Logistik;22246;Agentur für Arbeit München;Agentur für Arbeit München;Kapuzinerstr. 26;80337;München;;;;
VST Schörling;110609;LS73715;ja;04.02.2026;Logistik;22378;SKI GmbH;SKI GmbH + Co.KG;Lessingstraße 9  / 3.OG;80336;München;;;;
VST Plep;110610;LS73716;ja;13.01.2026;Logistik;22395;Förderschule Nieder-Olm;Förderschule Nieder-Olm;Oppenheimer Str. 69;55268;Nieder-Olm;;;;
STK Service;110611;LS73717;ja;24.02.2026;Logistik;22435;Accuride Wheels Solingen GmbH;KRONPRINZ Germany GmbH;Weyerstraße 112;42697;Solingen;;;;
STK Service;110612;LS73718;ja;24.02.2026;Logistik;22435;Accuride Wheels Solingen GmbH;KRONPRINZ Germany GmbH;Weyerstraße 112;42697;Solingen;;;;
STK Service;110613;LS73719;ja;24.02.2026;Logistik;22435;Accuride Wheels Solingen GmbH;KRONPRINZ Germany GmbH;Weyerstraße 112;42697;Solingen;;;;
STK Service;110614;LS73720;ja;24.02.2026;Logistik;22435;Accuride Wheels Solingen GmbH;KRONPRINZ Germany GmbH;Weyerstraße 112;42697;Solingen;;;;
STK Service;110615;LS73721;ja;24.02.2026;Logistik;22435;Accuride Wheels Solingen GmbH;KRONPRINZ Germany GmbH;Weyerstraße 112;42697;Solingen;;;;
STK Service;110616;LS73722;ja;24.02.2026;Logistik;22435;Accuride Wheels Solingen GmbH;KRONPRINZ Germany GmbH;Weyerstraße 112;42697;Solingen;;;;
STK Service;110617;LS73723;ja;24.02.2026;Logistik;22435;Accuride Wheels Solingen GmbH;KRONPRINZ Germany GmbH;Weyerstraße 112;42697;Solingen;;;;
Bastian;110618;LS73724;ja;14.01.2026;Logistik;22425;Agentur für Arbeit Passau;Bundesagentur für Arbeit;Innstr. 30;94032;Passau;;;;
Planegg;110619;LS73725;ja;27.01.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffmann GmbH;Truderinger Str. 199;81673;München;;;;
Planegg;110620;LS73726;ja;14.01.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffmann GmbH;Truderinger Str. 199;81673;München;;;;
Planegg;110621;LS73727;ja;14.01.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffmann GmbH;Truderinger Str. 199;81673;München;;;;
Planegg;110622;LS73728;ja;27.01.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffmann GmbH;Truderinger Str. 199;81673;München;;;;
Planegg;110623;LS73729;ja;14.01.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffmann GmbH;Truderinger Str. 199;81673;München;;;;
Planegg;110624;LS73730;ja;27.01.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffmann GmbH;Truderinger Str. 199;81673;München;;;;
Planegg;110625;LS73731;ja;27.01.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffmann GmbH;Truderinger Str. 199;81673;München;;;;
Planegg;110626;LS73732;ja;09.01.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffmann GmbH;Truderinger Str. 199;81673;München;;;;
Planegg;110628;LS73734;ja;18.02.2026;Logistik;22843;K&L Gates München;K & L Gates LLP;Karlstr. 12;80333;München;;;;
STK Service;110629;LS73735;ja;23.02.2026;Logistik;22807;alpha e.V.- Hofgemeinschaft Pu;alpha e.V.- Hofgemeinschaft Purd;Purd 2a;42499;Hückeswagen;;;;
Planegg;110630;LS73736;ja;21.01.2026;Logistik;22971;ROSSIGNOL SKI DEUTSCHLAND GMBH;ROSSIGNOL SKI DEUTSCHLAND GMBH;Zielstattstr. 11;81379;München;;;;
VST Schörling;110631;LS73737;ja;06.02.2026;Logistik;22467;Agentur für Arbeit Rosenheim;Agentur für Arbeit Rosenheim;Wittelsbacher Str. 57;83022;Rosenheim;;;;
VST Schörling;110632;LS73738;ja;06.02.2026;Logistik;22467;Agentur für Arbeit Rosenheim;Agentur für Arbeit Rosenheim;Wittelsbacher Str. 57;83022;Rosenheim;;;;
VST Schörling;110633;LS73739;ja;06.02.2026;Logistik;22467;Agentur für Arbeit Rosenheim;Agentur für Arbeit Rosenheim;Herdergarten 2;83607;Holzkirchen;;;;
VST Schörling;110634;LS73740;ja;27.01.2026;Logistik;22466;Agentur für Arbeit Weilheim;Agentur für Arbeit Weilheim;Karwendelstr. 1;82362;Weilheim;;;;
VST Schörling;110635;LS73741;ja;11.02.2026;Logistik;22466;Agentur für Arbeit Weilheim;Agentur für Arbeit Weilheim;Mühlweg 3a   / 3.OG Teeküche;86899;Landsberg am Lech;;;;
VST Schörling;110636;LS73742;ja;27.01.2026;Logistik;22466;Agentur für Arbeit Weilheim;Agentur für Arbeit Weilheim;Karwendelstr. 1;82362;Weilheim;;;;
VST Schörling;110637;LS73743;ja;27.01.2026;Logistik;22466;Agentur für Arbeit Weilheim;Agentur für Arbeit Weilheim;Hanfelderstr. 15b  /1.UG, K3;82319;Starnberg;;;;
Kyffhäuser;110638;LS73744;ja;21.01.2026;Logistik;22992;Stadtverwaltung Radebeul;Stadtverwaltung Radebeul;Pestalozzistraße 8;01445;Radebeul;;;;
AQUATRADE Bram;110639;LS73745;ja;09.02.2026;Logistik;23022;J-Store;J-Store Hamburg;Wandsbeker Chaussee 101;22089;Hamburg;;;;
AQUATRADE Bram;110640;LS73746;ja;09.02.2026;Logistik;23022;J-Store;J-Store Hamburg;Wandsbeker Chaussee 33;22089;Hamburg;;;;
STK Service;110641;LS73747;nein;09.01.2026;Logistik;22727;Bolt Services de GmbH;Bolt Services DE GmbH;Lindentalweg 4;44388;Dortmund;;;;
STK Service;110642;LS73748;ja;24.02.2026;Logistik;22996;apt Holding;apt Holding GmbH;Rheinpromenade 11;40789;Monheim;;;;
VST Schörling;110643;LS73749;ja;24.03.2026;Logistik;22854;FWW Fundservices GmbH;FWW Fundservices GmbH;Münchener Str. 14;85540;Haar;;;;
VST Schörling;110644;LS73750;ja;24.03.2026;Logistik;22854;FWW Fundservices GmbH;FWW Fundservices GmbH;Münchener Str. 14;85540;Haar;;;;
VST Schörling;110645;LS73751;ja;24.03.2026;Logistik;22854;FWW Fundservices GmbH;FWW Fundservices GmbH;Münchener Str. 14;85540;Haar;;;;
VST Schörling;110646;LS73752;ja;24.03.2026;Logistik;22854;FWW Fundservices GmbH;FWW Fundservices GmbH;Münchener Str. 14;85540;Haar;;;;
Planegg;110647;LS73753;ja;27.01.2026;Logistik;23012;Iyuno;Iyuno Germany GmbH;Lindwurmstraße 88  / 1.OG;80337;München;;;;
Planegg;110648;LS73754;ja;27.01.2026;Logistik;23012;Iyuno;Iyuno Germany GmbH;Lindwurmstraße 88  / 2.OG;80337;München;;;;
Planegg;110649;LS73755;ja;27.01.2026;Logistik;23012;Iyuno;Iyuno Germany GmbH;Lindwurmstraße 88  / 2.+3. OG;80337;München;;;;
VST Schörling;110650;LS73756;ja;12.02.2026;Logistik;23052;Steinhagen;Steinhagen Offices GmbH;Carl-Zeiss-Ring 15a;85737;Ismaning;;;;
VST Schörling;110651;LS73757;ja;12.02.2026;Logistik;23052;Steinhagen;Steinhagen Offices GmbH;Carl-Zeiss-Ring 15a;85737;Ismaning;;;;
STK Service;110652;LS73758;ja;23.02.2026;Logistik;23126;Falck;Falck Notfallrettung u.Krankentransport GmbH;Im Löhken 6;58099;Hagen;;;;
Gleisner;110653;LS73759;ja;14.01.2026;Logistik;22990;Elflein Service GmbH;Elflein Service GmbH;Regnitzstraße 18 b;96052;Bamberg;;;;
aboutwater Frankfurt;110654;LS73760;ja;09.01.2026;Logistik;23159;City-Fahrschule Dieter Bernard;City-Fahrschule Dieter Bernardy GmbH;Bischheimer Str. 3;67292;Kirchheimbolanden;;;;
Schöttle - Haiterbach;110655;LS73761;ja;02.02.2026;Logistik;22382;Sozialstation Esslingen e.V.;Sozialstation Esslingen e.V.;Urbanstr. 4;73728;Esslingen;;;;
Schöttle - Haiterbach;110656;LS73762;ja;02.02.2026;Logistik;22382;Sozialstation Esslingen e.V.;Sozialstation Esslingen gGmbH;Urbanstr. 4  / 2.OG;73728;Esslingen;;;;
Schöttle - Haiterbach;110657;LS73763;ja;02.02.2026;Logistik;22382;Sozialstation Esslingen e.V.;Sozialstation Esslingen gGmbH;Weiherstr. 35/1;73730;Esslingen;;;;
Schöttle - Haiterbach;110658;LS73764;ja;02.02.2026;Logistik;22382;Sozialstation Esslingen e.V.;Sozialstation Esslingen gGmbH;Katharinenstraße 65;73728;Esslingen;;;;
Schöttle - Haiterbach;110659;LS73765;ja;02.02.2026;Logistik;22382;Sozialstation Esslingen e.V.;Sozialstation Esslingen gGmbH;Kelterstr. 19;73733;Esslingen;;;;
Schöttle - Haiterbach;110660;LS73766;ja;02.02.2026;Logistik;22382;Sozialstation Esslingen e.V.;Sozialstation Esslingen gGmbH;Blumenstr. 72;73733;Esslingen;;;;
Schöttle - Haiterbach;110661;LS73767;ja;02.02.2026;Logistik;22382;Sozialstation Esslingen e.V.;Sozialstation Esslingen gGmbH;Katharinenstraße 65;73728;Esslingen;;;;
Hess;110663;LS73769;ja;27.01.2026;Logistik;23338;Le Gastro;Deutsche Post AG;Rosmarter Allee 3;58762;Altena;;;;
STK Service;110664;LS73770;ja;19.03.2026;Logistik;23274;Schwerpunktpraxis Einsfelder;Schwerpunktpraxis für Manuelle Lymphdrainage;Georgstraße 32;49809;Lingen;;;;
AMW Auersperg;110665;LS73771;ja;20.01.2026;Logistik;22997;LCM Reinigung;LCM Reinigung GmbH;Reinickendorfer Str. 11;13347;Berlin-Wedding;;;;
AMW Auersperg;110666;LS73772;ja;20.01.2026;Logistik;22997;LCM Reinigung;LCM Reinigung GmbH;Reinickendorfer Str. 11;13347;Berlin-Wedding;;;;
AQUATRADE Glinde;110667;LS73773;ja;19.01.2026;Logistik;23355;Falck Notfallrettung und Krank;Falck Notfallrettung u.Katastrophenschutz;Alter Postweg 42;21614;Buxtehude;;;;
VST Schörling;110668;LS73774;ja;12.02.2026;Logistik;23850;SE Sustainable Exergy GmbH;SE Sustainable Exergy GmbH;Feldkirchener Straße 12 A;85551;Kirchheim;;;;
Hess;110669;LS73775;ja;20.01.2026;Logistik;10081;PSL GmbH;PSL GmbH;Mastenweg 1;37619;Hehlen;;;;
Hess;110670;LS73776;ja;20.01.2026;Logistik;10081;PSL GmbH;PSL GmbH;Mastenweg 1;37619;Hehlen;;;;
AMW Auersperg;110671;LS73777;ja;23.03.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Erich-Schlesinger-Str. 37;18059;Rostock;;;;
Ines Rütz Appen;110672;LS73778;ja;02.02.2026;Logistik;23577;Dataport;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Ines Rütz Appen;110673;LS73779;ja;02.02.2026;Logistik;23577;Dataport;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Ines Rütz Appen;110674;LS73780;nein;09.01.2026;Logistik;23577;Dataport;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Ines Rütz Appen;110676;LS73781;ja;26.01.2026;Logistik;23577;Dataport;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Ines Rütz Appen;110677;LS73782;ja;02.02.2026;Logistik;23577;Dataport;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
AMW Auersperg;110678;LS73783;ja;29.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Fraunhoferstraße 16;24118;Kiel;;;;
GWA;110679;LS73784;ja;21.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Otto-von-Guericke-Straße 4;39104;Magdeburg;;;;
GWA;110680;LS73785;ja;21.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Otto-von-Guericke-Straße 4;39104;Magdeburg;;;;
GWA;110681;LS73786;ja;21.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Otto-von-Guericke-Straße 4;39104;Magdeburg;;;;
AMW Auersperg;110682;LS73787;ja;27.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Altenholzer Straße 10-14;24161;Altenholz;;;;
AMW Auersperg;110683;LS73788;ja;27.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Altenholzer Straße 10-14;24161;Altenholz;;;;
AMW Auersperg;110684;LS73789;ja;27.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Altenholzer Straße 10-14;24161;Altenholz;;;;
AMW Auersperg;110685;LS73790;ja;21.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Altenholzer Straße 10-14;24161;Altenholz;;;;
AMW Auersperg;110686;LS73791;ja;27.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Altenholzer Straße 10-14;24161;Altenholz;;;;
AMW Auersperg;110687;LS73792;ja;27.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Altenholzer Straße 10-14;24161;Altenholz;;;;
Ines Rütz Appen;110688;LS73793;ja;26.01.2026;Logistik;23577;Dataport;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Ines Rütz Appen;110689;LS73794;ja;02.02.2026;Logistik;23577;Dataport;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Ines Rütz Appen;110690;LS73795;ja;02.02.2026;Logistik;23577;Dataport;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
AMW Auersperg;110691;LS73796;ja;27.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rec;Christianspries 4;24159;Kiel;;;;
AMW Auersperg;110692;LS73797;ja;27.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rec;Christianspries 4;24159;Kiel;;;;
AMW Auersperg;110693;LS73798;ja;28.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rec;Altenholzer Straße 10-14;24161;Altenholz;;;;
VST Schörling;110694;LS73799;ja;20.02.2026;Logistik;23896;Dr. Mach GmbH & Co.KG;Dr. Mach GmbH & Co.KG;Am Brucker Feld 4;85567;Grafing;;;;
VST Schörling;110695;LS73800;ja;20.02.2026;Logistik;23896;Dr. Mach GmbH & Co.KG;Dr. Mach GmbH & Co.KG;Am Brucker Feld 4;85567;Grafing;;;;
VST Schörling;110696;LS73801;ja;20.02.2026;Logistik;23896;Dr. Mach GmbH & Co.KG;Dr. Mach GmbH & Co.KG;Am Brucker Feld 4;85567;Grafing;;;;
VST Schörling;110697;LS73802;ja;20.02.2026;Logistik;23896;Dr. Mach GmbH & Co.KG;Dr. Mach GmbH & Co.KG;Am Brucker Feld 4;85567;Grafing;;;;
VST Schörling;110698;LS73803;ja;20.02.2026;Logistik;23896;Dr. Mach GmbH & Co.KG;Dr. Mach GmbH & Co.KG;Am Brucker Feld 4;85567;Grafing;;;;
Planegg;110700;LS73805;ja;19.01.2026;Logistik;23962;Gast & Collegen Rechtsanwälte;RAe Gast & Collegen PartmbB;Bahnhofstraße 21;85635;Höhenkirchen-Siegertsbrunn;;;;
aboutwater Frankfurt;110701;LS73806;ja;09.01.2026;Logistik;23943;Haustechnik Eistal GmbH;Haustechnik Eistal GmbH;Industriestraße 19;68623;Lampertheim;;;;
aboutwater Bünde;110702;LS73807;ja;20.01.2026;Logistik;23893;Diabetologie Bergedorf;Zentrum für Diabetologie Bergedorf;Glindersweg 80, Haus E;21029;Hamburg;;;;
AMW Auersperg;110703;LS73808;ja;20.01.2026;Logistik;23958;Bartko & Reher;Bartko & Reher GmbH & Co. KG;Alt-Moabit 98;10559;Berlin;;;;
Planegg;110704;LS73809;ja;19.01.2026;Logistik;23966;Elflein Logistik Bamberg;Elflein Logistik Bamberg GmbH;Carl-von-Linde-Straße 12;85716;Unterschleißheim;;;;
Kyffhäuser;110705;LS73810;ja;21.01.2026;Logistik;23953;Dr. Neubauer;Dr.med. Heiner Neubauer;Waldstraße 23;04105;Leipzig;;;;
Kyffhäuser;110706;LS73811;ja;21.01.2026;Logistik;23953;Dr. Neubauer;Dr.med. Heiner Neubauer;Brackestraße 36;04207;Leipzig;;;;
Planegg;110707;LS73812;ja;06.02.2026;Logistik;23830;Hofmeister Käsewerk;Hofmeister Käsewerk GmbH & Co. KG;Molkereistraße 23;85368;Moosburg;;;;
Planegg;110708;LS73813;ja;06.02.2026;Logistik;23830;Hofmeister Käsewerk;Hofmeister Käsewerk GmbH & Co. KG;Molkereistraße 23;85368;Moosburg;;;;
Planegg;110709;LS73814;ja;06.02.2026;Logistik;23830;Hofmeister Käsewerk;Hofmeister Käsewerk GmbH & Co. KG;Egglhauserstr. 15;84076;Pfeffenhausen;;;;
AMW Auersperg;110710;LS73815;ja;20.02.2026;Logistik;22197;Trippen A.Spieth, M.Oehler Gmb;Trippen A.Spieth, M.Oehler GmbH;Industriestr. 8;16792;Zehdenick;;;;
Ines Rütz Appen;110711;LS73816;ja;22.01.2026;Logistik;24107;IFB Innovationsstarter GmbH;IFB Innovationsstarter GmbH;Besenbinderhof 43;20097;Hamburg;;;;
Planegg;110712;LS73817;nein;09.01.2026;Logistik;24181;Mittelschule Unterschleißheim;Mittelschule Unterschleißheim;Johann-Schmid-Straße 11 a;85716;Unterschleißheim;;;;
Kyffhäuser;110713;LS73818;ja;15.01.2026;Logistik;24222;Dataport 2;Dataport - IT-BBZ;Kaiserslauterer Str. 75;06128;Halle (Saale);;;;
AMW Auersperg;110714;LS73819;ja;28.01.2026;Logistik;24222;Dataport 2;Dataport - IT-BBZ;Holstenstraße 68;24103;Kiel;;;;
AMW Auersperg;110715;LS73820;ja;28.01.2026;Logistik;24222;Dataport 2;Dataport - IT-BBZ;Holstenstraße 68;24103;Kiel;;;;
aboutwater Bünde;110716;LS73821;ja;19.01.2026;Logistik;24229;RELUX;RELUX Rohstoffe GmbH & Co. KG;Scheidkamp 9;32584;Löhne;;;;
VST Schörling;110723;LS73828;ja;02.03.2026;Logistik;24301;Agentur für Arbeit Erding;Agentur für Arbeit;Berghamer Str. 14  /  1.OG;85435;Erding;;;;
Planegg;110724;LS73829;nein;09.01.2026;Logistik;24381;Easy Consult Personaldienstl;Elevate Change GmbH;Rosa-Bavarese-Straße 15;80639;München;;;;
aboutwater Frankfurt;110725;LS73830;nein;09.01.2026;Logistik;24410;Stadt Ettlingen;Stadt Ettlingen;Schillerstraße 7-9;76275;Ettlingen;;;;
aboutwater Frankfurt;110726;LS73831;nein;09.01.2026;Logistik;24410;Stadt Ettlingen;Stadt Ettlingen;Ottostraße 5;76275;Ettlingen;;;;
aboutwater Frankfurt;110727;LS73832;nein;09.01.2026;Logistik;24410;Stadt Ettlingen;Stadt Ettlingen;Schloßplatz 3;76275;Ettlingen;;;;
aboutwater Frankfurt;110728;LS73833;nein;09.01.2026;Logistik;24410;Stadt Ettlingen;Stadt Ettlingen;Marktplatz 2;76275;Ettlingen;;;;
AMW Auersperg;110729;LS73834;ja;19.01.2026;Logistik;24285;PBI GmbH;PBI Projektgesellschaft Wartenberg mbH;Treskowallee 232;12459;Berlin;;;;
Planegg;110730;LS73835;nein;09.01.2026;Logistik;24120;Restaurant Beccofino;Restaurant Beccofino;Hochbrückenstr. 14;80331;München;;;;
Planegg;110731;LS73836;ja;30.01.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;110732;LS73837;ja;01.03.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;110733;LS73838;ja;26.01.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;110734;LS73839;ja;30.01.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;110735;LS73840;ja;26.01.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;110736;LS73841;ja;30.01.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;110737;LS73842;ja;26.01.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;110738;LS73843;ja;30.01.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;110739;LS73844;ja;26.01.2026;Logistik;24376;Schenker Deutschland AG;DSV Solutions GmbH;Freisinger Str. 15-19;85386;Eching;;;;
Kyffhäuser;110740;LS73845;ja;21.01.2026;Logistik;22992;Stadtverwaltung Radebeul;Sozialrathaus;Hauptstraße 4;01445;Radebeul;;;;
Kyffhäuser;110741;LS73846;ja;21.01.2026;Logistik;22992;Stadtverwaltung Radebeul;Rathaus "Alte Post";Pestalozzistraße 4;01445;Radebeul;;;;
aboutwater Frankfurt;110742;LS73847;ja;09.01.2026;Logistik;24373;teknihall;teknihall Service GmbH;Levi-Strauss-Allee 10-12;63150;Heusenstamm;;;;
Gänshirt-Aufmbruch;110743;LS73848;ja;26.01.2026;Logistik;24609;Semperit;Semperit Profiles Leeser GmbH & Co.;Ottostraße 25-27;41836;Hückelhoven;;;;
Bastian;110744;LS73849;ja;15.01.2026;Logistik;20836;Asam Betriebs -1;Asam Betriebs GmbH;Bayerwaldstr. 15;94377;Steinach;;;;
Kyffhäuser;110745;LS73850;ja;19.01.2026;Logistik;24956;Sanitätshaus Hertel GmbH;Sanitätshaus Hertel GmbH;Helenenstraße 18-20;09212;Limbach-Oberfrohna;;;;
STK Service;110746;LS73851;nein;09.01.2026;Logistik;24913;RI Research Dortmund;RI Research Instruments GmbH;Hauert 15;44227;Dortmund;;;;
VST Plep;110747;LS73852;ja;22.01.2026;Logistik;24931;Hochschule Trier - Umwelt-Camp;Hochschule Trier - Umwelt-Campus;Campusallee;55768;Hoppstädten-Weiersbach;;;;
Hess;110748;LS73853;ja;15.01.2026;Logistik;21688;Vedder;Vedder GmbH;Industriestraße 3;59348;Lüdinghausen;;;;
Hess;110749;LS73854;ja;15.01.2026;Logistik;21688;Vedder;Vedder GmbH;Lindenstraße 16;59348;Lüdinghausen;;;;
Hess;110750;LS73855;ja;15.01.2026;Logistik;21688;Vedder;Vedder GmbH;Industriestraße 3;59348;Lüdinghausen;;;;
Hess;110751;LS73856;ja;15.01.2026;Logistik;21688;Vedder;Vedder GmbH;Industriestraße 3;59348;Lüdinghausen;;;;
Planegg;110752;LS73857;ja;14.01.2026;Logistik;24996;Königl.Thailänd.Generalkonsula;Königlich Thailändisches Generalkon;Törringstraße 20;81675;München;;;;
Planegg;110753;LS73858;ja;14.01.2026;Logistik;24996;Königl.Thailänd.Generalkonsula;Königlich Thailändisches Generalkon;Törringstraße 20;81675;München;;;;
Planegg;110754;LS73859;nein;09.01.2026;Logistik;25015;Bayer Verwaltungsschule BVS;Bayerische Verwaltungsschule (BVS);Ridlerstraße 75;80339;München;;;;
VST Schörling;110755;LS73860;ja;04.02.2026;Logistik;21248;Florio;Florio GmbH;Wilhelm-Wagenfeld-Str. 22;80807;München;;;;
Planegg;110756;LS73861;ja;27.01.2026;Logistik;25008;ARGE GWG Moosach 1;ARGE GWG Moosach 1 Hillebrand-Pfeif;Karlingerstraße 47 / EG;80992;München;;;;
Planegg;110757;LS73862;ja;27.01.2026;Logistik;25008;ARGE GWG Moosach 1;ARGE GWG Moosach 1 Hillebrand-Pfeif;Karlingerstraße 47 / EG;80992;München;;;;
Planegg;110758;LS73863;ja;27.01.2026;Logistik;25008;ARGE GWG Moosach 1;ARGE GWG Moosach 1 Hillebrand-Pfeif;Baubergerstr./Karlingerstraße;80992;München;;;;
VST Plep;110759;LS73864;ja;15.01.2026;Logistik;24871;Diamond Aircraft Industries;Diamond Aircraft Industries Deutsch;Hans-Fleißner-Straße 54;63329;Egelsbach;;;;
AQUATRADE Glinde;110760;LS73865;ja;16.01.2026;Logistik;24954;Nordlite;Nordlite Event Solutions GmbH;Lederstraße 15 B;22525;Hamburg;;;;
AQUATRADE Glinde;110761;LS73866;ja;16.01.2026;Logistik;24954;Nordlite;Nordlite Event Solutions GmbH;Lederstraße 15 B;22525;Hamburg;;;;
AQUATRADE Glinde;110762;LS73867;ja;16.01.2026;Logistik;24954;Nordlite;Nordlite Event Solutions GmbH;Lederstraße 15 B;22525;Hamburg;;;;
AQUATRADE Glinde;110763;LS73868;ja;16.01.2026;Logistik;24954;Nordlite;Nordlite Event Solutions GmbH;Lederstraße 15 B;22525;Hamburg;;;;
AQUATRADE Glinde;110764;LS73869;ja;16.01.2026;Logistik;24954;Nordlite;Nordlite Event Solutions GmbH;Lederstraße 15 B;22525;Hamburg;;;;
AQUATRADE Glinde;110765;LS73870;ja;16.01.2026;Logistik;24954;Nordlite;Nordlite Event Solutions GmbH;Lederstraße 15 B;22525;Hamburg;;;;
